fips,lon,lat,pop,name
29073,-91.490137,38.446364,14794,Gasconade
29075,-94.432825,40.203737,6162,Gentry
29077,-93.309507,37.192242,298915,Greene
29079,-93.59577,40.093264,9808,Grundy
29081,-94.001268,40.315594,8157,Harrison
29083,-93.73769,38.394287,21946,Henry
29085,-93.329051,37.91105,8279,Hickory
29087,-95.185877,40.084331,4223,Holt
29089,-92.70446,39.140559,10151,Howard
29091,-91.873718,36.792561,39750,Howell
29093,-90.713802,37.578019,9537,Iron
29095,-94.444287,39.00998,717204,Jackson
29097,-94.444125,37.129578,122761,Jasper
29099,-90.475056,38.340859,226739,Jefferson
29101,-93.770288,38.758577,54013,Johnson
29103,-92.154081,40.155205,3744,Knox
29105,-92.653795,37.669688,36039,Laclede
29107,-93.842193,39.055172,32984,Lafayette
29109,-93.799734,37.034976,38001,Lawrence
29111,-91.641748,40.08916,10032,Lewis
29113,-90.929751,38.996776,59574,Lincoln
29115,-93.066695,39.797177,11874,Linn
29117,-93.553067,39.79808,14557,Livingston
29119,-94.399016,36.615343,23303,McDonald
29121,-92.50812,39.796483,15209,Macon
29123,-90.299752,37.539522,12626,Madison
29125,-91.878849,38.170013,8432,Maries
29127,-91.457393,39.741435,28525,Marion
29129,-93.579508,40.415018,3538,Mercer
29131,-92.50897,38.246362,24722,Miller
29133,-89.368458,36.856032,12577,Mississippi
29135,-92.611037,38.627456,15473,Moniteau
29137,-91.966322,39.524752,8666,Monroe
29139,-91.467436,38.948967,11322,Montgomery
29141,-92.85098,38.383773,21006,Morgan
29143,-89.651942,36.612845,16434,New Madrid
29145,-94.414367,36.921726,58648,Newton
29147,-94.868321,40.352259,21241,Nodaway
29149,-91.47387,36.614979,8635,Oregon
29151,-91.884527,38.455126,13274,Osage
29153,-92.421851,36.623314,8553,Ozark
29155,-89.744692,36.179974,15661,Pemiscot
29157,-89.85786,37.713861,18956,Perry
29159,-93.247496,38.701441,42980,Pettis
29161,-91.747022,37.943357,44638,Phelps
29163,-91.160041,39.362999,17587,Pike
29165,-94.683735,39.260346,106718,Platte
29167,-93.404435,37.602027,31519,Polk
29169,-92.175732,37.822042,53955,Pulaski
29171,-92.984514,40.483035,4681,Putnam
29173,-91.469172,39.579823,10355,Ralls
29175,-92.451801,39.413737,24716,Randolph
