fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source,countywide_wet,cohort,treated_unit,neighbor_unit,clean_control,n_wet_neighbors,share_wet_neighbors,n_neighbors,total_pop,median_hh_income,median_age,poverty_rate,pct_white,pct_black,pct_under_18,pct_21plus,pop_21plus,fatal_crashes_pc,alcohol_crashes_pc,church_establishments,church_employees
5013,Calhoun,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,5,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,6,1,1,0,0,0,0,1,0,0,0,0,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,227.8769,0.0,7,14
5013,Calhoun,2014,7,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,8,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,9,1,1,1,0,1,0,1,0,0,0,0,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,227.8769,227.8769,7,14
5013,Calhoun,2014,10,1,1,0,0,1,0,0,0,0,0,1,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,227.8769,0.0,7,14
5013,Calhoun,2014,11,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2014,12,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5266.0,35000.0,44.9,0.1672,0.7397,0.2474,0.1855,0.8145,4289.0,0.0,0.0,7,14
5013,Calhoun,2015,1,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR,1,0,0,1,0,4,0.8,5,5245.0,36899.0,44.9,0.1778,0.764,0.2217,0.1941,0.8059,4227.0,228.7893,0.0,7,13
5013,Calhoun,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,0.8,5,5245.0,36899.0,44.9,0.1778,0.764,0.2217,0.1941,0.8059,4227.0,0.0,0.0,7,13
