fips,county_name,acs_vintage,total_pop,median_hh_income,median_age,poverty_universe,poverty_below,poverty_rate,race_total,race_white,race_black,pct_white,pct_black,pop_under_18,pct_under_18,pop_21plus,pct_21plus
5141,"Van Buren County, Arkansas",2009,16411.0,30531.0,45.5,16211.0,2912.0,0.1796,16411.0,15806.0,167.0,0.9631,0.0102,3483.0,0.2122,12928.0,0.7878
5143,"Washington County, Arkansas",2009,193353.0,43317.0,30.9,186554.0,30508.0,0.1635,193353.0,159765.0,6164.0,0.8263,0.0319,49632.0,0.2567,143721.0,0.7433
5145,"White County, Arkansas",2009,73838.0,38417.0,35.7,69182.0,11350.0,0.1641,73838.0,67939.0,3201.0,0.9201,0.0434,17827.0,0.2414,56011.0,0.7586
5147,"Woodruff County, Arkansas",2009,7677.0,27880.0,40.9,7644.0,1979.0,0.2589,7677.0,5262.0,2308.0,0.6854,0.3006,1815.0,0.2364,5862.0,0.7636
5149,"Yell County, Arkansas",2009,21912.0,36398.0,36.5,21549.0,3691.0,0.1713,21912.0,19469.0,284.0,0.8885,0.013,5876.0,0.2682,16036.0,0.7318
5001,"Arkansas County, Arkansas",2010,19321.0,37230.0,42.0,18475.0,3500.0,0.1894,19321.0,13898.0,4712.0,0.7193,0.2439,4447.0,0.2302,14874.0,0.7698
5003,"Ashley County, Arkansas",2010,22126.0,34934.0,38.6,21885.0,4039.0,0.1846,22126.0,15307.0,5739.0,0.6918,0.2594,5525.0,0.2497,16601.0,0.7503
5005,"Baxter County, Arkansas",2010,41388.0,35606.0,50.1,40393.0,6270.0,0.1552,41388.0,40215.0,29.0,0.9717,0.0007,7523.0,0.1818,33865.0,0.8182
5007,"Benton County, Arkansas",2010,209911.0,50434.0,34.4,207018.0,24290.0,0.1173,209911.0,178326.0,2271.0,0.8495,0.0108,58251.0,0.2775,151660.0,0.7225
5009,"Boone County, Arkansas",2010,36710.0,36977.0,40.6,35852.0,5728.0,0.1598,36710.0,35442.0,63.0,0.9655,0.0017,8711.0,0.2373,27999.0,0.7627
5011,"Bradley County, Arkansas",2010,11638.0,29908.0,40.1,11560.0,3519.0,0.3044,11638.0,7161.0,3377.0,0.6153,0.2902,2757.0,0.2369,8881.0,0.7631
5013,"Calhoun County, Arkansas",2010,5529.0,32450.0,40.4,5529.0,660.0,0.1194,5529.0,4072.0,1186.0,0.7365,0.2145,1236.0,0.2235,4293.0,0.7765
5015,"Carroll County, Arkansas",2010,26971.0,34235.0,43.7,26016.0,4486.0,0.1724,26971.0,24175.0,155.0,0.8963,0.0057,6031.0,0.2236,20940.0,0.7764
5017,"Chicot County, Arkansas",2010,12102.0,21676.0,41.9,11279.0,3851.0,0.3414,12102.0,5057.0,6615.0,0.4179,0.5466,2898.0,0.2395,9204.0,0.7605
5019,"Clark County, Arkansas",2010,23083.0,31968.0,33.1,19923.0,4736.0,0.2377,23083.0,16973.0,5351.0,0.7353,0.2318,4629.0,0.2005,18454.0,0.7995
5021,"Clay County, Arkansas",2010,16297.0,29066.0,43.0,16282.0,3048.0,0.1872,16297.0,15958.0,18.0,0.9792,0.0011,3687.0,0.2262,12610.0,0.7738
5023,"Cleburne County, Arkansas",2010,25692.0,35753.0,46.0,24838.0,4330.0,0.1743,25692.0,25025.0,144.0,0.974,0.0056,5173.0,0.2013,20519.0,0.7987
5025,"Cleveland County, Arkansas",2010,8769.0,36957.0,39.1,8751.0,1322.0,0.1511,8769.0,7507.0,1109.0,0.8561,0.1265,2210.0,0.252,6559.0,0.748
5027,"Columbia County, Arkansas",2010,24756.0,35148.0,36.9,23213.0,5309.0,0.2287,24756.0,15112.0,9140.0,0.6104,0.3692,5712.0,0.2307,19044.0,0.7693
5029,"Conway County, Arkansas",2010,21059.0,32700.0,39.6,20947.0,3556.0,0.1698,21059.0,17897.0,2507.0,0.8499,0.119,5132.0,0.2437,15927.0,0.7563
5031,"Craighead County, Arkansas",2010,93329.0,39233.0,33.3,90011.0,17458.0,0.194,93329.0,78671.0,11570.0,0.8429,0.124,23250.0,0.2491,70079.0,0.7509
5033,"Crawford County, Arkansas",2010,60778.0,40197.0,37.3,60625.0,11080.0,0.1828,60778.0,55161.0,811.0,0.9076,0.0133,16242.0,0.2672,44536.0,0.7328
5035,"Crittenden County, Arkansas",2010,50673.0,33716.0,33.3,49709.0,13603.0,0.2737,50673.0,24073.0,25083.0,0.4751,0.495,15163.0,0.2992,35510.0,0.7008
5037,"Cross County, Arkansas",2010,18144.0,37021.0,38.4,17856.0,2984.0,0.1671,18144.0,13690.0,4164.0,0.7545,0.2295,4755.0,0.2621,13389.0,0.7379
5039,"Dallas County, Arkansas",2010,8280.0,29602.0,41.7,7562.0,1340.0,0.1772,8280.0,4552.0,3587.0,0.5498,0.4332,2047.0,0.2472,6233.0,0.7528
5041,"Desha County, Arkansas",2010,13351.0,29051.0,38.3,13351.0,3681.0,0.2757,13351.0,6393.0,6230.0,0.4788,0.4666,3551.0,0.266,9800.0,0.734
5043,"Drew County, Arkansas",2010,18546.0,32558.0,36.8,17650.0,4174.0,0.2365,18546.0,12904.0,5304.0,0.6958,0.286,4440.0,0.2394,14106.0,0.7606
5045,"Faulkner County, Arkansas",2010,108375.0,45287.0,31.5,103511.0,15840.0,0.153,108375.0,93069.0,10848.0,0.8588,0.1001,26687.0,0.2462,81688.0,0.7538
5047,"Franklin County, Arkansas",2010,18176.0,32064.0,41.4,18095.0,3219.0,0.1779,18176.0,17354.0,78.0,0.9548,0.0043,4500.0,0.2476,13676.0,0.7524
5049,"Fulton County, Arkansas",2010,12263.0,30598.0,46.7,11935.0,2421.0,0.2028,12263.0,11927.0,0.0,0.9726,0.0,2666.0,0.2174,9597.0,0.7826
5051,"Garland County, Arkansas",2010,95290.0,36844.0,44.0,93257.0,16552.0,0.1775,95290.0,81998.0,7739.0,0.8605,0.0812,20106.0,0.211,75184.0,0.789
5053,"Grant County, Arkansas",2010,17657.0,51589.0,39.2,17374.0,1535.0,0.0884,17657.0,16862.0,496.0,0.955,0.0281,4352.0,0.2465,13305.0,0.7535
5055,"Greene County, Arkansas",2010,41318.0,38209.0,37.3,40425.0,6635.0,0.1641,41318.0,40176.0,305.0,0.9724,0.0074,10423.0,0.2523,30895.0,0.7477
5057,"Hempstead County, Arkansas",2010,22747.0,35708.0,37.1,21597.0,5020.0,0.2324,22747.0,14719.0,6872.0,0.6471,0.3021,5957.0,0.2619,16790.0,0.7381
5059,"Hot Spring County, Arkansas",2010,32671.0,37150.0,39.6,31443.0,3872.0,0.1231,32671.0,28327.0,3307.0,0.867,0.1012,7713.0,0.2361,24958.0,0.7639
5061,"Howard County, Arkansas",2010,13778.0,34554.0,38.8,13633.0,2999.0,0.22,13778.0,9623.0,2894.0,0.6984,0.21,3642.0,0.2643,10136.0,0.7357
5063,"Independence County, Arkansas",2010,35994.0,34625.0,38.7,34912.0,6728.0,0.1927,35994.0,34099.0,791.0,0.9474,0.022,8636.0,0.2399,27358.0,0.7601
5065,"Izard County, Arkansas",2010,13636.0,31673.0,47.0,12996.0,2430.0,0.187,13636.0,13116.0,209.0,0.9619,0.0153,2621.0,0.1922,11015.0,0.8078
5067,"Jackson County, Arkansas",2010,18015.0,27615.0,40.0,15785.0,4083.0,0.2587,18015.0,14545.0,3005.0,0.8074,0.1668,3768.0,0.2092,14247.0,0.7908
5069,"Jefferson County, Arkansas",2010,78447.0,35998.0,36.5,73673.0,16646.0,0.2259,78447.0,33697.0,41916.0,0.4296,0.5343,19107.0,0.2436,59340.0,0.7564
5071,"Johnson County, Arkansas",2010,25180.0,30592.0,37.1,24537.0,4753.0,0.1937,25180.0,23945.0,404.0,0.951,0.016,6311.0,0.2506,18869.0,0.7494
