fips,year,dist_popcen_instate,dist_popcen_aug,dist_border_instate,dist_border_aug,nearest_wet_fips_aug,nearest_wet_is_oos,n_wet_neighbors_instate_chk,n_oos_wet_neighbors,n_wet_neighbors_aug,any_wet_neighbor_aug,share_wet_neighbors_aug
05019,2014,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2015,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2016,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2017,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2018,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2019,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2020,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2021,28.191,28.191,12.683,12.683,05039,0,2,0,2,1,0.3333
05019,2022,21.884,21.884,6.281,6.281,05059,0,3,0,3,1,0.5
05019,2023,21.884,21.884,6.281,6.281,05059,0,3,0,3,1,0.5
05021,2008,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2009,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2010,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2011,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2012,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2013,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2014,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2015,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2016,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2017,22.402,17.441,7.627,7.627,05055,0,1,3,4,1,0.8
05021,2018,22.402,17.441,7.627,7.627,05055,0,2,3,5,1,1.0
05021,2019,22.402,17.441,7.627,7.627,05055,0,2,3,5,1,1.0
05021,2020,22.402,17.441,7.627,7.627,05055,0,2,3,5,1,1.0
05021,2021,22.402,17.441,7.627,7.627,05055,0,2,3,5,1,1.0
05021,2022,22.402,17.441,7.627,7.627,05055,0,2,3,5,1,1.0
05021,2023,22.402,17.441,7.627,7.627,05055,0,2,3,5,1,1.0
05023,2008,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2009,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2010,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2011,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2012,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2013,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2014,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2015,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2016,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2017,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2018,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2019,42.788,42.788,25.098,25.098,05029,0,0,0,0,0,0.0
05023,2020,21.906,21.906,11.806,11.806,05141,0,1,0,1,1,0.2
05023,2021,21.906,21.906,11.806,11.806,05141,0,1,0,1,1,0.2
05023,2022,21.906,21.906,11.806,11.806,05141,0,1,0,1,1,0.2
05023,2023,21.906,21.906,11.806,11.806,05141,0,1,0,1,1,0.2
05025,2008,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2009,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2010,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2011,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2012,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2013,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2014,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2015,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2016,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2017,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2018,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
