fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source
5001,Arkansas,2020,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,3,1,1,1,0,0,0,1,0,0,0,0,0,DR_DRINK
5001,Arkansas,2021,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,5,1,1,0,1,0,1,0,0,0,0,0,0,DR_DRINK
5001,Arkansas,2021,6,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,9,2,2,1,0,1,0,0,0,0,2,0,0,DR_DRINK
5001,Arkansas,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,6,1,1,0,0,0,0,0,0,0,0,1,0,DR_DRINK
5001,Arkansas,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2022,9,1,1,1,0,0,0,0,0,0,0,1,0,DR_DRINK
5001,Arkansas,2022,10,1,1,0,0,0,0,0,0,0,0,1,0,DR_DRINK
5001,Arkansas,2022,11,1,1,0,0,0,0,0,0,1,0,0,0,DR_DRINK
5001,Arkansas,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,2,1,1,1,0,1,0,0,0,1,0,0,0,DR_DRINK
5001,Arkansas,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,4,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,5,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,6,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,7,1,1,0,1,0,0,0,0,0,0,0,1,DR_DRINK
5001,Arkansas,2023,8,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,9,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,10,1,1,0,0,1,0,1,0,0,0,0,0,DR_DRINK
5001,Arkansas,2023,11,0,0,0,0,0,0,0,0,0,0,0,0,
5001,Arkansas,2023,12,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,2,1,1,1,0,0,0,0,1,0,0,0,0,DRUNK_DR
5003,Ashley,2008,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,5,2,2,2,1,1,1,0,0,0,0,1,0,DRUNK_DR
5003,Ashley,2008,6,1,1,0,0,0,0,0,1,0,0,0,0,DRUNK_DR
5003,Ashley,2008,7,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,8,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,9,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,10,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,11,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2008,12,1,1,0,0,1,0,0,1,0,0,0,0,DRUNK_DR
5003,Ashley,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,2,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5003,Ashley,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,
