fips,year,church_establishments,church_employees
5089,2022,15,25
5089,2023,14,27
5091,2008,39,277
5091,2009,39,277
5091,2010,39,277
5091,2011,40,236
5091,2012,41,240
5091,2013,42,244
5091,2014,42,252
5091,2015,36,218
5091,2016,40,215
5091,2017,36,220
5091,2018,37,217
5091,2019,38,229
5091,2020,36,184
5091,2021,38,257
5091,2022,37,220
5091,2023,39,206
5093,2008,39,162
5093,2009,39,162
5093,2010,39,162
5093,2011,41,166
5093,2012,44,175
5093,2013,42,176
5093,2014,42,173
5093,2015,45,167
5093,2016,40,158
5093,2017,39,142
5093,2018,37,131
5093,2019,36,132
5093,2020,35,114
5093,2021,34,119
5093,2022,32,115
5093,2023,32,111
5095,2008,7,28
5095,2009,7,28
5095,2010,7,28
5095,2011,7,19
5095,2012,7,26
5095,2013,7,22
5095,2014,7,24
5095,2015,7,21
5095,2016,7,20
5095,2017,7,18
5095,2018,7,22
5095,2019,7,18
5095,2020,6,16
5095,2021,6,16
5095,2022,6,14
5095,2023,6,15
5097,2008,4,17
5097,2009,4,17
5097,2010,4,17
5097,2011,4,20
5097,2012,4,0
5097,2013,4,0
5097,2014,4,0
5097,2015,4,15
5097,2016,5,20
5097,2017,5,19
5097,2018,5,22
5097,2019,5,22
5097,2020,5,24
5097,2021,4,10
5097,2022,6,13
5097,2023,7,31
5099,2008,8,46
5099,2009,8,46
5099,2010,8,46
5099,2011,8,0
5099,2012,8,0
5099,2013,7,0
5099,2014,7,40
5099,2015,7,40
5099,2016,7,45
5099,2017,8,41
5099,2018,5,19
5099,2019,6,18
5099,2020,7,26
5099,2021,7,24
5099,2022,7,23
5099,2023,8,25
5101,2008,4,0
5101,2009,4,0
5101,2010,4,0
5101,2011,3,0
5101,2012,6,0
5101,2013,4,0
5101,2014,2,0
5101,2015,2,0
5101,2016,4,7
5101,2017,4,4
5101,2018,3,3
5101,2019,3,4
5101,2020,3,4
5101,2021,5,6
5101,2022,4,3
5101,2023,5,5
5103,2008,35,179
5103,2009,35,179
5103,2010,35,179
5103,2011,38,201
5103,2012,38,196
5103,2013,41,190
5103,2014,39,183
5103,2015,41,182
5103,2016,41,168
5103,2017,41,170
5103,2018,39,157
5103,2019,40,155
5103,2020,36,148
5103,2021,35,125
5103,2022,34,116
5103,2023,33,110
5105,2008,9,23
5105,2009,9,23
5105,2010,9,23
5105,2011,9,26
5105,2012,7,0
5105,2013,7,26
5105,2014,7,0
5105,2015,9,27
5105,2016,10,27
5105,2017,8,22
5105,2018,9,22
5105,2019,7,22
5105,2020,7,21
5105,2021,9,31
5105,2022,9,27
5105,2023,8,22
5107,2008,23,0
5107,2009,23,0
5107,2010,23,0
5107,2011,21,63
5107,2012,22,60
5107,2013,21,61
5107,2014,22,0
5107,2015,20,62
5107,2016,23,69
5107,2017,21,68
5107,2018,23,69
5107,2019,20,59
5107,2020,20,61
5107,2021,19,50
5107,2022,19,46
5107,2023,17,35
5109,2008,10,67
5109,2009,10,67
5109,2010,10,67
5109,2011,10,70
5109,2012,11,75
5109,2013,10,61
5109,2014,9,56
5109,2015,10,56
5109,2016,10,55
5109,2017,13,66
5109,2018,12,52
5109,2019,10,53
5109,2020,10,53
5109,2021,9,33
5109,2022,8,33
5109,2023,9,54
5111,2008,25,87
5111,2009,25,87
5111,2010,25,87
5111,2011,23,75
5111,2012,26,72
5111,2013,27,0
5111,2014,27,77
5111,2015,25,73
5111,2016,24,72
5111,2017,26,71
5111,2018,25,80
5111,2019,22,68
5111,2020,21,77
5111,2021,23,64
5111,2022,22,64
5111,2023,21,62
5113,2008,23,0
5113,2009,23,0
5113,2010,23,0
5113,2011,23,0
5113,2012,26,132
5113,2013,27,0
5113,2014,28,0
5113,2015,25,145
5113,2016,26,157
