fips,county_name,acs_vintage,pop_15plus,n_married,n_divorced,n_separated,n_widowed,n_never_married,pct_married,pct_divorced,pct_never_married,pct_widowed,pct_separated
05119,Pulaski,2010,300321,149743,40810,8441,18874,90894,0.4986,0.1359,0.3027,0.0628,0.0281
05121,Randolph,2010,14664,8758,1955,305,1318,2633,0.5972,0.1333,0.1796,0.0899,0.0208
05123,St. Francis,2010,22515,9852,3490,1201,1770,7403,0.4376,0.155,0.3288,0.0786,0.0533
05125,Saline,2010,81877,48898,10388,1563,4987,17604,0.5972,0.1269,0.215,0.0609,0.0191
05127,Scott,2010,8967,5340,961,158,993,1673,0.5955,0.1072,0.1866,0.1107,0.0176
05129,Searcy,2010,6814,3983,898,134,745,1188,0.5845,0.1318,0.1743,0.1093,0.0197
05131,Sebastian,2010,97678,53885,12917,2526,6730,24146,0.5517,0.1322,0.2472,0.0689,0.0259
05133,Sevier,2010,12600,7591,1262,557,958,2789,0.6025,0.1002,0.2213,0.076,0.0442
05135,Sharp,2010,14412,8486,2162,312,1445,2319,0.5888,0.15,0.1609,0.1003,0.0216
05137,Stone,2010,10235,6217,1315,298,894,1809,0.6074,0.1285,0.1767,0.0873,0.0291
05139,Union,2010,33713,17876,4331,1083,2856,8650,0.5302,0.1285,0.2566,0.0847,0.0321
05141,Van Buren,2010,14346,8404,1872,433,1542,2528,0.5858,0.1305,0.1762,0.1075,0.0302
05143,Washington,2010,155049,81057,16368,2828,7944,49680,0.5228,0.1056,0.3204,0.0512,0.0182
05145,White,2010,60072,35142,7138,1251,3886,13906,0.585,0.1188,0.2315,0.0647,0.0208
05147,Woodruff,2010,6100,3325,835,189,604,1336,0.5451,0.1369,0.219,0.099,0.031
05149,Yell,2010,17120,9771,2338,327,1393,3618,0.5707,0.1366,0.2113,0.0814,0.0191
05099,Nevada,2011,7278,4242,782,183,746,1508,0.5829,0.1074,0.2072,0.1025,0.0251
05037,Cross,2011,14283,8423,1422,454,1228,3210,0.5897,0.0996,0.2247,0.086,0.0318
05039,Dallas,2011,6500,3524,727,178,688,1561,0.5422,0.1118,0.2402,0.1058,0.0274
05027,Columbia,2011,20027,10328,2092,804,1672,5935,0.5157,0.1045,0.2963,0.0835,0.0401
05125,Saline,2011,83880,49890,11071,1302,5093,17826,0.5948,0.132,0.2125,0.0607,0.0155
05141,Van Buren,2011,14353,8511,1846,387,1408,2588,0.593,0.1286,0.1803,0.0981,0.027
05065,Izard,2011,11519,7425,1299,256,968,1827,0.6446,0.1128,0.1586,0.084,0.0222
05063,Independence,2011,28980,17466,3179,771,2309,6026,0.6027,0.1097,0.2079,0.0797,0.0266
05079,Lincoln,2011,11823,5222,1669,508,730,4202,0.4417,0.1412,0.3554,0.0617,0.043
05083,Logan,2011,17955,10394,2649,502,1306,3606,0.5789,0.1475,0.2008,0.0727,0.028
05053,Grant,2011,14306,9275,1269,130,933,2829,0.6483,0.0887,0.1977,0.0652,0.0091
05035,Crittenden,2011,38426,17678,4741,1756,2792,13215,0.4601,0.1234,0.3439,0.0727,0.0457
05047,Franklin,2011,14509,8321,2006,521,1224,2958,0.5735,0.1383,0.2039,0.0844,0.0359
05045,Faulkner,2011,88389,47037,9644,1632,4385,27323,0.5322,0.1091,0.3091,0.0496,0.0185
05109,Pike,2011,9013,5021,1109,176,850,2033,0.5571,0.123,0.2256,0.0943,0.0195
05069,Jefferson,2011,62374,26899,9007,1938,4799,21669,0.4313,0.1444,0.3474,0.0769,0.0311
05089,Marion,2011,14279,9246,1486,229,1316,2231,0.6475,0.1041,0.1562,0.0922,0.016
05097,Montgomery,2011,7865,5213,851,207,627,1174,0.6628,0.1082,0.1493,0.0797,0.0263
05127,Scott,2011,8899,5414,1074,187,806,1605,0.6084,0.1207,0.1804,0.0906,0.021
05129,Searcy,2011,6757,3791,1032,148,691,1243,0.561,0.1527,0.184,0.1023,0.0219
05131,Sebastian,2011,98563,54009,13140,2617,6349,25065,0.548,0.1333,0.2543,0.0644,0.0266
05033,Crawford,2011,47976,29231,5985,807,2912,9848,0.6093,0.1247,0.2053,0.0607,0.0168
05007,Benton,2011,165101,103357,16706,2220,8362,36676,0.626,0.1012,0.2221,0.0506,0.0134
05017,Chicot,2011,9641,4367,1097,394,1130,3047,0.453,0.1138,0.316,0.1172,0.0409
05059,Hot Spring,2011,26592,14667,4251,635,1769,5905,0.5516,0.1599,0.2221,0.0665,0.0239
05071,Johnson,2011,20129,10807,2884,317,1754,4684,0.5369,0.1433,0.2327,0.0871,0.0157
05077,Lee,2011,8730,3296,1224,358,829,3381,0.3775,0.1402,0.3873,0.095,0.041
05087,Madison,2011,12475,7594,1729,145,793,2359,0.6087,0.1386,0.1891,0.0636,0.0116
05049,Fulton,2011,10232,5841,1516,145,885,1990,0.5709,0.1482,0.1945,0.0865,0.0142
05061,Howard,2011,10736,5931,1193,352,1011,2601,0.5524,0.1111,0.2423,0.0942,0.0328
05093,Mississippi,2011,35662,17657,4251,1006,2966,10788,0.4951,0.1192,0.3025,0.0832,0.0282
05117,Prairie,2011,7223,4520,705,172,673,1325,0.6258,0.0976,0.1834,0.0932,0.0238
05139,Union,2011,33544,17625,4414,1296,2747,8758,0.5254,0.1316,0.2611,0.0819,0.0386
05023,Cleburne,2011,21529,13338,2363,471,2148,3680,0.6195,0.1098,0.1709,0.0998,0.0219
05025,Cleveland,2011,6909,4092,701,147,424,1692,0.5923,0.1015,0.2449,0.0614,0.0213
05057,Hempstead,2011,17772,9937,2030,481,1355,4450,0.5591,0.1142,0.2504,0.0762,0.0271
