fips,county,year,total_crashes,crashes_sun,share_sun,crashes_mon,share_mon,crashes_tue,share_tue,crashes_wed,share_wed,crashes_thu,share_thu,crashes_fri,share_fri,crashes_sat,share_sat
5027,Columbia,2022,8,1,0.125,0,0.0,1,0.125,0,0.0,1,0.125,1,0.125,4,0.5
5027,Columbia,2023,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5
5029,Conway,2008,7,1,0.1429,2,0.2857,1,0.1429,0,0.0,1,0.1429,1,0.1429,1,0.1429
5029,Conway,2009,4,3,0.75,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0
5029,Conway,2010,9,1,0.1111,0,0.0,1,0.1111,0,0.0,1,0.1111,3,0.3333,3,0.3333
5029,Conway,2011,4,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,2,0.5
5029,Conway,2012,9,1,0.1111,3,0.3333,2,0.2222,0,0.0,1,0.1111,0,0.0,2,0.2222
5029,Conway,2013,7,1,0.1429,0,0.0,2,0.2857,1,0.1429,1,0.1429,1,0.1429,1,0.1429
5029,Conway,2014,6,2,0.3333,0,0.0,0,0.0,2,0.3333,2,0.3333,0,0.0,0,0.0
5029,Conway,2015,5,0,0.0,1,0.2,1,0.2,1,0.2,0,0.0,2,0.4,0,0.0
5029,Conway,2016,4,3,0.75,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0.0
5029,Conway,2017,4,0,0.0,1,0.25,0,0.0,1,0.25,0,0.0,1,0.25,1,0.25
5029,Conway,2018,4,1,0.25,0,0.0,1,0.25,0,0.0,2,0.5,0,0.0,0,0.0
5029,Conway,2019,5,0,0.0,2,0.4,0,0.0,1,0.2,1,0.2,1,0.2,0,0.0
5029,Conway,2020,6,1,0.1667,0,0.0,1,0.1667,0,0.0,2,0.3333,1,0.1667,1,0.1667
5029,Conway,2021,6,1,0.1667,0,0.0,2,0.3333,0,0.0,0,0.0,3,0.5,0,0.0
5029,Conway,2022,5,1,0.2,0,0.0,3,0.6,1,0.2,0,0.0,0,0.0,0,0.0
5029,Conway,2023,4,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0,1,0.25,1,0.25
5031,Craighead,2008,17,0,0.0,4,0.2353,2,0.1176,1,0.0588,2,0.1176,1,0.0588,7,0.4118
5031,Craighead,2009,19,2,0.1053,6,0.3158,1,0.0526,3,0.1579,1,0.0526,3,0.1579,3,0.1579
