year,month,crash_fips,home_fips,dr_drink,resident,in_state,out_of_state,home_dry
2008,8,05029,05029,0,True,True,False,False
2008,8,05005,05031,0,False,True,False,True
2008,8,05031,05031,0,True,True,False,True
2008,8,05031,05031,0,True,True,False,True
2008,8,05143,05131,1,False,True,False,True
2008,8,05097,05097,0,True,True,False,True
2008,8,05097,05097,0,True,True,False,True
2008,8,05113,05113,1,True,True,False,True
2008,8,05051,05051,0,True,True,False,False
2008,8,05051,05051,0,True,True,False,False
2008,8,05093,05093,0,True,True,False,False
2008,8,05019,05019,0,True,True,False,False
2008,8,05005,05089,0,False,True,False,False
2008,8,05145,05025,0,False,True,False,False
2008,8,05123,05123,1,True,True,False,False
2008,8,05119,05119,0,True,True,False,False
2008,8,05143,05007,1,False,True,False,True
2008,8,05085,05085,1,True,True,False,True
2008,8,05085,05119,0,False,True,False,False
2008,8,05121,05121,0,True,True,False,True
2008,8,05121,17201,0,False,False,True,
2008,8,05121,05021,0,False,True,False,True
2008,8,05121,05121,0,True,True,False,True
2008,8,05085,48439,0,False,False,True,
2008,8,05085,13247,0,False,False,True,
2008,8,05113,05113,1,True,True,False,True
2008,8,05065,29043,0,False,False,True,
2008,8,05065,29091,0,False,False,True,
2008,8,05119,05119,1,True,True,False,False
2008,8,05079,47105,0,False,False,True,
2008,8,05079,05069,0,False,True,False,False
2008,8,05007,05007,0,True,True,False,True
2008,8,05125,42003,0,False,False,True,
2008,8,05143,05005,1,False,True,False,False
2008,8,05083,05127,0,False,True,False,True
2008,8,05021,05021,0,True,True,False,True
2008,8,05145,05117,1,False,True,False,False
2008,8,05045,05045,0,True,True,False,True
2008,8,05033,05033,0,True,True,False,True
2008,8,05045,05035,1,False,True,False,False
2008,8,05059,22085,0,False,False,True,
2008,8,05045,05119,0,False,True,False,False
2008,8,05045,05131,0,False,True,False,True
2008,8,05045,05119,0,False,True,False,False
2008,8,05071,05071,1,True,True,False,True
2008,8,05059,05059,1,True,True,False,True
2008,8,05059,48157,0,False,False,True,
2008,8,05039,05059,0,False,True,False,True
2008,9,05113,05113,0,True,True,False,True
2008,9,05137,05137,0,True,True,False,True
2008,9,05077,05097,1,False,True,False,True
2008,9,05089,05089,0,True,True,False,False
2008,9,05089,05089,0,True,True,False,False
2008,9,05089,21183,0,False,False,True,
2008,9,05089,29187,0,False,False,True,
2008,9,05141,48439,0,False,False,True,
2008,9,05125,05119,0,False,True,False,False
2008,9,05131,05131,1,True,True,False,True
2008,9,05063,05063,1,True,True,False,True
2008,9,05071,05071,0,True,True,False,True
2008,9,05033,05071,1,False,True,False,True
2008,9,05033,05033,0,True,True,False,True
2008,9,05005,19017,0,False,False,True,
2008,9,05007,05007,0,True,True,False,True
2008,9,05085,20173,0,False,False,True,
2008,9,05119,05119,0,True,True,False,False
2008,9,05097,05057,0,False,True,False,True
2008,9,05137,05023,0,False,True,False,True
2008,9,05119,05119,1,True,True,False,False
2008,9,05007,20155,0,False,False,True,
2008,9,05047,05047,1,True,True,False,False
2008,9,05055,05055,0,True,True,False,False
2008,9,05133,05061,0,False,True,False,True
2008,9,05133,05061,0,False,True,False,True
2008,9,05097,05051,1,False,True,False,False
2008,9,05005,29153,0,False,False,True,
2008,9,05005,40017,0,False,False,True,
2008,9,05045,05045,1,True,True,False,True
2008,9,05115,05115,0,True,True,False,True
2008,9,05007,05007,0,True,True,False,True
2008,9,05007,05007,0,True,True,False,True
2008,9,05031,05031,0,True,True,False,True
2008,9,05031,05031,0,True,True,False,True
2008,9,05069,05079,0,False,True,False,True
2008,9,05147,05037,0,False,True,False,False
2008,9,05147,05095,0,False,True,False,False
2008,9,05043,05079,1,False,True,False,True
2008,9,05043,05043,0,True,True,False,False
2008,9,05043,05043,0,True,True,False,False
2008,9,05123,05077,1,False,True,False,False
2008,9,05071,13121,0,False,False,True,
2008,9,05007,05007,0,True,True,False,True
2008,9,05007,40041,0,False,False,True,
2008,9,05111,05023,0,False,True,False,True
2008,9,05111,05031,0,False,True,False,True
2008,9,05043,05043,0,True,True,False,False
2008,9,05143,05131,1,False,True,False,True
2008,9,05023,05023,0,True,True,False,True
2008,9,05093,05093,0,True,True,False,False
2008,9,05093,05093,0,True,True,False,False
2008,9,05143,05085,0,False,True,False,True
2008,9,05143,05085,1,False,True,False,True
2008,10,05079,40135,0,False,False,True,
2008,10,05079,05043,0,False,True,False,False
2008,10,05069,05069,0,True,True,False,False
2008,10,05087,05087,0,True,True,False,False
2008,10,05099,47161,0,False,False,True,
2008,10,05099,31055,0,False,False,True,
2008,10,05045,05141,0,False,True,False,True
2008,10,05045,47015,0,False,False,True,
2008,10,05137,05007,0,False,True,False,True
2008,10,05137,05137,0,True,True,False,True
2008,10,05067,05067,0,True,True,False,False
2008,10,05047,05131,0,False,True,False,True
2008,10,05047,48245,0,False,False,True,
2008,10,05143,05143,0,True,True,False,False
2008,10,05119,05119,0,True,True,False,False
2008,10,05119,05119,0,True,True,False,False
2008,10,05035,17165,0,False,False,True,
2008,10,05035,05093,0,False,True,False,False
2008,10,05035,05035,0,True,True,False,False
2008,10,05125,05125,0,True,True,False,True
2008,10,05049,05049,1,True,True,False,True
2008,10,05047,05047,1,True,True,False,False
2008,10,05049,05005,0,False,True,False,False
2008,10,05049,05005,0,False,True,False,False
2008,10,05049,05009,0,False,True,False,False
2008,10,05085,28085,0,False,False,True,
2008,10,05085,48251,0,False,False,True,
2008,10,05023,05023,0,True,True,False,True
2008,10,05145,05145,0,True,True,False,True
2008,10,05055,05055,1,True,True,False,False
2008,10,05145,05145,1,True,True,False,True
2008,10,05125,05125,1,True,True,False,True
2008,10,05063,22049,0,False,False,True,
2008,10,05063,05063,1,True,True,False,True
2008,10,05119,05119,0,True,True,False,False
2008,10,05119,05121,0,False,True,False,True
2008,10,05119,05119,0,True,True,False,False
2008,10,05035,22085,0,False,False,True,
2008,10,05069,05043,0,False,True,False,False
2008,10,05069,05069,0,True,True,False,False
2008,10,05129,05129,1,True,True,False,True
2008,10,05007,05007,0,True,True,False,True
2008,10,05063,05065,0,False,True,False,True
2008,10,05063,05145,0,False,True,False,True
2008,10,05119,05119,0,True,True,False,False
2008,10,05119,05119,0,True,True,False,False
2008,10,05107,05107,1,True,True,False,False
2008,10,05033,48113,1,False,False,True,
2008,10,05033,29109,0,False,False,True,
2008,10,05119,05045,0,False,True,False,True
2008,10,05005,05065,0,False,True,False,True
2008,10,05033,05033,0,True,True,False,True
2008,10,05119,05085,0,False,True,False,True
2008,10,05119,05119,0,True,True,False,False
2008,10,05111,05111,1,True,True,False,False
2008,10,05115,05115,0,True,True,False,True
2008,10,05115,05115,0,True,True,False,True
2008,10,05085,05085,0,True,True,False,True
2008,10,05085,05085,0,True,True,False,True
2008,10,05085,05119,0,False,True,False,False
2008,10,05145,05145,0,True,True,False,True
2008,10,05145,05145,0,True,True,False,True
2008,10,05049,05049,0,True,True,False,True
2008,10,05051,05051,1,True,True,False,False
2008,10,05007,27053,0,False,False,True,
2008,10,05091,05091,1,True,True,False,False
2008,10,05027,05027,0,True,True,False,True
2008,10,05015,05015,0,True,True,False,False
2008,10,05095,05095,1,True,True,False,False
2008,10,05037,05037,0,True,True,False,False
2008,10,05037,05123,0,False,True,False,False
2008,10,05113,08035,0,False,False,True,
2008,10,05113,48231,0,False,False,True,
2008,10,05055,05055,0,True,True,False,False
2008,10,05149,05149,0,True,True,False,True
2008,11,05085,05085,0,True,True,False,True
2008,11,05127,05127,1,True,True,False,True
2008,11,05119,05119,0,True,True,False,False
2008,11,05119,05119,0,True,True,False,False
2008,11,05125,05053,0,False,True,False,True
2008,11,05125,05125,0,True,True,False,True
2008,11,05069,05139,0,False,True,False,False
2008,11,05069,05069,0,True,True,False,False
2008,11,05057,05057,1,True,True,False,True
2008,11,05119,05145,1,False,True,False,True
2008,11,05149,05149,0,True,True,False,True
2008,11,05007,05007,0,True,True,False,True
