crash_fips,year,month,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05007,2021,10,2,1,1.0,0.0,0.0,1.0,0.0
05007,2021,11,3,0,0.6666666666666667,0.0,0.0,,
05007,2022,1,1,0,0.0,0.0,0.0,,
05007,2022,2,2,0,0.0,0.0,0.0,,
05007,2022,3,1,0,1.0,0.0,0.0,,
05007,2022,4,1,0,1.0,0.0,0.0,,
05007,2022,5,3,1,0.33333333333333337,0.0,0.0,0.0,0.0
05007,2022,6,2,0,1.0,0.5,0.0,,
05007,2022,7,1,1,0.0,0.0,0.0,0.0,0.0
05007,2022,8,4,0,0.25,0.0,0.0,,
05007,2022,9,1,1,1.0,1.0,,1.0,
05007,2022,10,7,1,0.4285714285714286,0.14285714285714285,0.0,1.0,0.0
05007,2022,11,4,1,0.25,0.25,0.0,0.0,0.0
05007,2022,12,12,0,0.5833333333333333,0.16666666666666666,0.2,,
05007,2023,1,4,1,0.25,0.0,0.0,0.0,0.0
05007,2023,2,1,1,1.0,0.0,1.0,1.0,1.0
05007,2023,3,3,0,0.33333333333333337,0.0,0.0,,
05007,2023,4,3,0,0.6666666666666667,0.3333333333333333,0.0,,
05007,2023,5,2,2,0.0,0.0,0.0,0.0,0.0
05007,2023,6,3,0,0.0,0.0,0.0,,
05007,2023,7,3,0,0.0,0.0,0.0,,
05007,2023,8,2,0,,,,,
05007,2023,9,2,1,0.0,0.0,0.0,0.0,0.0
05007,2023,10,2,1,0.0,0.0,0.0,0.0,0.0
05007,2023,11,3,0,0.5,0.5,0.0,,
05007,2023,12,9,1,0.4444444444444444,0.4444444444444444,0.0,1.0,
05009,2008,1,1,1,0.0,0.0,0.0,0.0,0.0
05009,2008,2,2,0,0.5,0.0,0.0,,
05009,2008,4,2,0,0.5,0.5,0.0,,
05009,2008,6,2,0,0.5,0.5,0.0,,
05009,2008,7,1,0,1.0,0.0,1.0,,
05009,2009,1,3,3,0.33333333333333337,0.3333333333333333,0.0,0.33333333333333337,0.0
05009,2009,3,3,0,0.33333333333333337,0.0,0.0,,
05009,2009,5,3,1,0.0,0.0,0.0,0.0,0.0
05009,2009,7,1,1,0.0,0.0,0.0,0.0,0.0
05009,2009,8,1,1,0.0,0.0,0.0,0.0,0.0
05009,2010,1,1,1,0.0,0.0,0.0,0.0,0.0
05009,2010,2,1,0,0.0,0.0,0.0,,
05009,2010,3,1,0,0.0,0.0,0.0,,
05009,2010,5,4,2,0.25,0.0,0.25,0.0,0.0
05009,2010,10,2,0,0.0,0.0,0.0,,
05009,2011,1,3,1,0.6666666666666667,0.0,0.6666666666666666,0.0,0.0
05009,2011,2,2,0,0.0,0.0,0.0,,
05009,2011,5,3,0,0.33333333333333337,0.0,0.3333333333333333,,
05009,2011,8,1,0,0.0,0.0,0.0,,
05009,2012,1,4,1,0.0,0.0,0.0,0.0,0.0
05009,2012,3,3,1,0.33333333333333337,0.0,0.0,0.0,0.0
05009,2012,6,1,0,1.0,0.0,0.0,,
05009,2013,4,1,1,0.0,0.0,0.0,0.0,0.0
05009,2013,5,2,0,1.0,1.0,,,
05009,2013,9,1,0,,,,,
05009,2013,10,2,0,0.0,0.0,0.0,,
05009,2013,11,1,1,0.0,0.0,0.0,0.0,0.0
05009,2014,8,4,0,0.0,0.0,0.0,,
05009,2015,1,3,0,0.33333333333333337,0.0,0.0,,
05009,2015,3,2,0,0.5,0.0,0.5,,
05009,2015,7,2,1,0.5,0.5,0.0,1.0,
05009,2015,8,2,0,1.0,0.0,1.0,,
05009,2015,11,3,0,0.6666666666666667,0.3333333333333333,0.0,,
05009,2016,7,1,1,1.0,1.0,,1.0,
05009,2016,9,5,0,0.8,0.2,0.0,,
05009,2016,11,1,0,0.0,0.0,0.0,,
05009,2016,12,4,0,0.5,0.0,0.5,,
05009,2017,5,2,0,1.0,0.5,0.0,,
05009,2017,6,2,0,0.5,0.5,0.0,,
05009,2017,8,3,0,1.0,0.0,0.0,,
05009,2017,10,4,0,0.5,0.0,0.0,,
05009,2017,11,1,1,1.0,0.0,0.0,1.0,0.0
05009,2017,12,1,0,0.0,0.0,0.0,,
05009,2018,1,2,1,0.0,0.0,0.0,0.0,0.0
05009,2018,2,3,0,0.33333333333333337,0.0,0.0,,
05009,2018,5,2,0,1.0,0.0,0.0,,
05009,2018,6,1,0,0.0,0.0,0.0,,
05009,2018,7,2,2,0.5,0.0,0.0,0.5,0.0
05009,2018,8,2,0,0.5,0.5,0.0,,
05009,2018,9,3,0,0.33333333333333337,0.0,0.0,,
05009,2018,12,2,0,0.0,0.0,0.0,,
05009,2019,1,1,0,0.0,0.0,0.0,,
05009,2019,4,3,0,1.0,0.3333333333333333,0.0,,
05009,2019,9,2,0,1.0,0.5,1.0,,
05009,2019,10,2,0,0.5,0.0,0.0,,
05009,2019,12,1,1,0.0,0.0,0.0,0.0,0.0
05009,2020,2,1,0,1.0,0.0,1.0,,
05009,2020,3,2,0,0.5,0.5,0.0,,
05009,2020,4,2,0,0.5,0.0,0.0,,
05009,2020,5,1,0,0.0,0.0,0.0,,
05009,2020,9,3,1,0.6666666666666667,0.0,0.0,0.0,0.0
05009,2021,1,1,0,0.0,0.0,0.0,,
05009,2021,3,1,1,0.0,0.0,0.0,0.0,0.0
05009,2021,4,3,1,0.33333333333333337,0.0,0.3333333333333333,0.0,0.0
05009,2021,6,2,1,0.0,0.0,0.0,0.0,0.0
05009,2021,7,2,1,0.0,0.0,0.0,0.0,0.0
05009,2021,8,2,0,0.5,0.0,0.0,,
05009,2021,9,3,0,0.0,0.0,0.0,,
05009,2021,10,2,0,1.0,1.0,,,
05009,2021,11,1,0,0.0,0.0,0.0,,
05009,2021,12,2,0,1.0,1.0,,,
05009,2022,4,1,0,0.0,0.0,0.0,,
05009,2022,7,4,1,0.5,0.0,0.0,1.0,0.0
05009,2022,9,1,0,1.0,1.0,,,
05009,2022,10,1,1,0.0,0.0,0.0,0.0,0.0
05009,2022,12,1,0,1.0,0.0,0.0,,
05009,2023,3,3,0,0.0,0.0,0.0,,
05009,2023,9,1,0,0.0,0.0,0.0,,
05011,2009,5,1,0,0.0,0.0,1.0,,
05011,2010,9,1,1,0.0,0.0,1.0,0.0,1.0
05011,2010,12,1,1,1.0,0.0,0.0,1.0,0.0
05011,2011,3,1,1,0.0,0.0,1.0,0.0,1.0
05011,2011,6,1,1,0.0,0.0,1.0,0.0,1.0
05011,2011,8,2,2,0.5,0.0,0.5,0.5,0.5
05011,2011,12,1,0,1.0,0.0,0.0,,
05011,2012,6,2,1,0.0,0.0,1.0,0.0,1.0
05011,2013,3,2,0,0.5,0.0,0.5,,
05011,2013,5,2,0,1.0,0.0,0.5,,
05011,2013,6,1,0,0.0,0.0,1.0,,
05011,2013,12,2,1,0.0,0.0,1.0,0.0,1.0
05011,2015,8,1,0,1.0,0.0,0.0,,
05011,2016,4,2,0,0.5,0.0,1.0,,
05011,2016,9,1,0,0.0,0.0,1.0,,
05011,2017,9,1,0,1.0,0.0,0.0,,
05011,2019,3,1,1,0.0,0.0,1.0,0.0,1.0
05011,2019,7,1,0,0.0,0.0,1.0,,
05011,2020,4,6,1,0.5,0.0,0.5,0.0,1.0
05011,2020,6,1,0,1.0,0.0,0.0,,
05011,2020,7,2,2,0.0,0.0,1.0,0.0,1.0
05011,2020,9,1,0,1.0,0.0,0.0,,
05011,2021,8,2,0,0.0,0.0,1.0,,
05011,2022,9,1,0,1.0,0.0,0.0,,
05011,2022,10,1,0,0.0,0.0,1.0,,
05011,2022,11,2,0,1.0,0.0,0.0,,
05011,2023,6,1,0,0.0,0.0,1.0,,
05013,2008,8,1,0,0.0,0.0,0.0,,
05013,2009,3,1,0,1.0,0.0,0.0,,
05013,2009,6,1,0,1.0,0.0,0.0,,
05013,2009,7,1,0,1.0,0.0,0.0,,
05013,2009,9,1,0,1.0,0.0,0.0,,
05013,2010,2,1,0,1.0,0.0,0.0,,
05013,2010,4,2,0,0.5,0.5,0.0,,
05013,2011,1,4,0,1.0,0.25,0.3333333333333333,,
05013,2011,4,1,1,0.0,0.0,0.0,0.0,0.0
05013,2012,5,1,0,0.0,0.0,0.0,,
05013,2012,12,2,1,0.5,0.0,0.0,0.0,0.0
05013,2013,4,2,1,0.5,0.0,0.5,1.0,1.0
05013,2013,6,2,0,1.0,0.0,0.0,,
05013,2014,6,1,0,1.0,1.0,,,
05013,2014,9,2,1,1.0,0.0,0.0,1.0,0.0
05013,2014,10,1,0,1.0,0.0,0.0,,
05013,2015,1,1,0,1.0,0.0,0.0,,
