crash_fips,year,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05043,2014,6,0,0.5,0.16666666666666666,0.2,,
05043,2015,9,1,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0
05043,2016,11,0,0.6363636363636364,0.09090909090909091,0.2,,
05043,2017,2,1,0.5,0.0,0.0,0.0,0.0
05043,2018,10,2,0.7,0.0,0.4,1.0,0.5
05043,2019,6,3,0.8333333333333334,0.0,0.5,0.6666666666666667,0.3333333333333333
05043,2020,6,1,0.8333333333333334,0.3333333333333333,0.5,1.0,1.0
05043,2021,8,1,0.625,0.125,0.14285714285714285,1.0,0.0
05043,2022,8,1,0.5,0.125,0.0,0.0,0.0
05043,2023,5,3,0.8,0.0,0.2,0.6666666666666667,0.0
05045,2008,20,7,0.65,0.1,0.7222222222222222,0.5714285714285714,0.8333333333333334
05045,2009,22,4,0.36363636363636365,0.045454545454545456,0.8571428571428571,0.5,0.75
05045,2010,27,5,0.40740740740740744,0.07407407407407407,0.88,0.19999999999999996,1.0
05045,2011,16,3,0.25,0.1875,0.9230769230769231,0.0,1.0
05045,2012,22,5,0.5,0.045454545454545456,0.7142857142857143,0.6,0.6
05045,2013,23,2,0.17391304347826086,0.0,0.9565217391304348,0.0,1.0
05045,2014,17,3,0.2941176470588235,0.058823529411764705,0.875,0.6666666666666667,0.6666666666666666
05045,2015,21,6,0.23809523809523814,0.0,0.8571428571428571,0.16666666666666663,0.8333333333333334
05045,2016,32,1,0.46875,0.0625,0.7,0.0,1.0
05045,2017,32,4,0.40625,0.0625,0.8,0.5,0.6666666666666666
05045,2018,36,4,0.41666666666666663,0.2222222222222222,0.8571428571428571,0.0,1.0
05045,2019,5,1,0.6,0.2,1.0,0.0,1.0
05045,2020,25,4,0.43999999999999995,0.08,0.782608695652174,0.25,1.0
05045,2021,34,8,0.6176470588235294,0.058823529411764705,0.5625,0.625,0.5
05045,2022,27,6,0.34615384615384615,0.11538461538461539,0.8695652173913043,0.16666666666666663,1.0
05045,2023,33,7,0.6060606060606061,0.12121212121212122,0.6896551724137931,0.8571428571428572,0.5
05047,2008,6,3,0.5,0.3333333333333333,0.25,0.0,0.0
05047,2009,6,1,0.8333333333333334,0.5,0.6666666666666666,1.0,1.0
05047,2010,1,1,1.0,1.0,,1.0,
05047,2011,7,2,0.2857142857142857,0.0,0.2857142857142857,0.5,0.5
05047,2012,9,2,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0
05047,2013,3,1,1.0,0.6666666666666666,1.0,1.0,
05047,2014,7,3,0.1428571428571429,0.0,0.14285714285714285,0.0,0.0
05047,2015,5,1,0.75,0.0,0.75,1.0,1.0
05047,2016,7,0,0.1428571428571429,0.0,0.14285714285714285,,
05047,2017,6,1,1.0,0.6666666666666666,1.0,1.0,1.0
05047,2018,7,2,0.8571428571428572,0.14285714285714285,0.8333333333333334,1.0,1.0
05047,2019,6,0,0.5,0.16666666666666666,0.4,,
